"dataset","optimizer","trial","success","time_seconds","objective_value","tc","m","w","A","B","C1","C2","rel_err","oscillations","damping","error_message"
"medium_regular","mlsl",1,TRUE,0.694979190826416,0.116016066720103,2020.65245901639,0.441546285371158,6.76280078874223,4.6901566682306,-0.00214082785058535,0.0684190624205432,-0.0315210997322584,0.000439216944706774,10.5802928507157,0.00185548779959014,""
"medium_regular","mlsl",2,TRUE,0.672014236450195,0.116016066720103,2020.65245901639,0.441546285371158,6.76280078874223,4.6901566682306,-0.00214082785058535,0.0684190624205432,-0.0315210997322584,0.000439216944706774,10.5802928507157,0.00185548779959014,""
"medium_regular","mlsl",3,TRUE,0.670807838439941,0.116016066720103,2020.65245901639,0.441546285371158,6.76280078874223,4.6901566682306,-0.00214082785058535,0.0684190624205432,-0.0315210997322584,0.000439216944706774,10.5802928507157,0.00185548779959014,""
"medium_regular","mlsl",4,TRUE,0.673782587051392,0.116016066720103,2020.65245901639,0.441546285371158,6.76280078874223,4.6901566682306,-0.00214082785058535,0.0684190624205432,-0.0315210997322584,0.000439216944706774,10.5802928507157,0.00185548779959014,""
"medium_regular","mlsl",5,TRUE,0.676509141921997,0.116016066720103,2020.65245901639,0.441546285371158,6.76280078874223,4.6901566682306,-0.00214082785058535,0.0684190624205432,-0.0315210997322584,0.000439216944706774,10.5802928507157,0.00185548779959014,""
"medium_regular","de",1,TRUE,0.611890554428101,0.116016038042762,2020.65245901639,0.441169141003981,6.76365115032132,4.69016687602841,-0.00215587179235037,0.0683711359928376,-0.0315665167602986,0.000445576922237325,10.5816232277026,0.0018673032046135,""
"medium_regular","de",2,TRUE,0.573408842086792,0.116016038042762,2020.65245901639,0.441169152174276,6.76365118270546,4.69016687573863,-0.00215587108832957,0.0683711357319967,-0.0315665194086345,0.000445577100480484,10.581623278367,0.00186730261151235,""
"medium_regular","de",3,TRUE,0.573941469192505,0.116016038042762,2020.65245901639,0.441169127470591,6.76365115341091,4.69016687638946,-0.00215587245638362,0.0683711350730966,-0.0315665164869499,0.000445576975803968,10.5816232325362,0.0018673037451764,""
"medium_regular","de",4,TRUE,0.592287540435791,0.116016038042762,2020.65245901639,0.441169131292989,6.76365117203517,4.69016687629199,-0.00215587218166304,0.0683711347636257,-0.0315665179163038,0.000445577084834321,10.5816232616735,0.00186730351037527,""
"medium_regular","de",5,TRUE,0.580944776535034,0.116016038042762,2020.65245901639,0.441169153013726,6.76365117036845,4.69016687571328,-0.0021558711012034,0.068371136143675,-0.031566518583311,0.000445577019826374,10.581623259066,0.00186730262893246,""
